Nom;Prénom;Groupe;Parti ou groupement politique;ID_AN
Bilde;Bruno;Non inscrit;Front National;OMC_PA720822
Blanc;Anne;La République en Marche;En marche !;OMC_PA718990
Blanchet;Christophe;La République en Marche;En marche !;OMC_PA719024
Blein;Yves;La République en Marche;En marche !;OMC_PA608641
Bois;Pascal;La République en Marche;En marche !;OMC_PA720576
Bolo;Philippe;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720162
Bonnell;Bruno;La République en Marche;En marche !;OMC_PA721344
Bonnivard;Émilie;Les Républicains;Les Républicains;OMC_PA721410
Bono-Vandorme;Aude;La République en Marche;En marche !;OMC_PA718756
Bony;Jean-Yves;Les Républicains;Les Républicains;OMC_PA266793
Borowczyk;Julien;La République en Marche;En marche !;OMC_PA719980
Bothorel;Éric;La République en Marche;En marche !;OMC_PA642695
Bouchet;Jean-Claude;Les Républicains;Les Républicains;OMC_PA336316
Boudié;Florent;La République en Marche;En marche !;OMC_PA606507
Bouillon;Christophe;Nouvelle Gauche;Parti socialiste;OMC_PA267233
Bourguignon;Brigitte;La République en Marche;En marche !;OMC_PA608083
Bourlanges;Jean-Louis;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA721608
Bournazel;Pierre-Yves;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA722030
Bouyx;Bertrand;La République en Marche;En marche !;OMC_PA719032
Boyer;Pascale;La République en Marche;En marche !;OMC_PA718710
Boyer;Valérie;Les Républicains;Les Républicains;OMC_PA330684
Braun-Pivet;Yaël;La République en Marche;En marche !;OMC_PA721908
Brenier;Marine;UDI, Agir et Indépendants;Les Républicains;OMC_PA713448
Breton;Xavier;Les Républicains;Les Républicains;OMC_PA330008
Bricout;Guy;UDI, Agir et Indépendants;Union des démocrates, radicaux et libéraux;OMC_PA267766
Bricout;Jean-Louis;Nouvelle Gauche;Parti socialiste;OMC_PA605069
Bridey;Jean-Jacques;La République en Marche;En marche !;OMC_PA672
Brocard;Blandine;La République en Marche;En marche !;OMC_PA721336
Brochand;Bernard;Les Républicains;Les Républicains;OMC_PA223837
Brotherson;Moetai;Gauche démocrate et républicaine;Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie;OMC_PA721118
Bru;Vincent;Mouvement Démocrate et apparentés;Mouvement Démocrate;OMC_PA720772
Brugnera;Anne;La République en Marche;En marche !;OMC_PA721328
Brulebois;Danielle;La République en Marche;En marche !;OMC_PA719890
Brun;Fabrice;Les Républicains;Les Républicains;OMC_PA718838
Bruneel;Alain;Gauche démocrate et républicaine;Parti communiste français;OMC_PA720546
Brunet;Anne-France;La République en Marche;En marche !;OMC_PA720116
Buchou;Stéphane;La République en Marche;En marche !;OMC_PA722000
Buffet;Marie-George;Gauche démocrate et républicaine;Parti communiste français;OMC_PA689
Bureau-Bonnard;Carole;La République en Marche;En marche !;OMC_PA720622
Cabaré;Pierre;La République en Marche;En marche !;OMC_PA719496
Calvez;Céline;La République en Marche;En marche !;OMC_PA721750
Cariou;Émilie;La République en Marche;En marche !;OMC_PA720298
Carrez;Gilles;Les Républicains;Les Républicains;OMC_PA746
Carvounas;Luc;Nouvelle Gauche;Parti socialiste;OMC_PA429893
Castellani;Michel;Non inscrit;Régions et peuples solidaires;OMC_PA719138
Cattelot;Anne-Laure;La République en Marche;En marche !;OMC_PA720520
Cattin;Jacques;Les Républicains;Les Républicains;OMC_PA767
