"nom","prénom","groupe","rattachement_parti","sexe","département","id_nosdeputes","url_institution"
"PELTIER","Guillaume","LR","Les Républicains","H","Loir-et-Cher","guillaume-peltier","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719946"
"LEROY","Maurice","LC","Union Des Démocrates, Radicaux Et Libéraux","H","Loir-et-Cher","maurice-leroy","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA1960"
"LE FEUR","Sandrine","LREM","En Marche !","F","Finistère","sandrine-le-feur","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719412"
"MELCHIOR","Graziella","LREM","En Marche !","F","Finistère","graziella-melchior","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA719338"
"BRICOUT","Jean-Louis","NG","Parti Socialiste","H","Aisne","jean-louis-bricout","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA605069"
"ROUSSEL","Fabien","GDR","Parti Communiste Francais","H","Nord","fabien-roussel","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA720692"
"HABIB","David","NG","Parti Socialiste","H","Pyrénées-Atlantiques","david-habib","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA1592"
"PINEL","Sylvia","NI","Parti Radical De Gauche","F","Tarn-et-Garonne","sylvia-pinel","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA336175"
"RABAULT","Valérie","NG","Parti Socialiste","F","Tarn-et-Garonne","valerie-rabault","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA609590"
"BESSOT BALLOT","Barbara","LREM","En Marche !","F","Haute-Saône","barbara-bessot-ballot","http://www2.assemblee-nationale.fr/deputes/fiche/OMC_PA722312"
